date,teste
Gastos P&D depois,150.4991694329241
Gastos P&D depois,418.33001326703777
Gastos P&D depois,811.4101798720546
Gastos P&D depois,1161.8950038622252
Gastos P&D depois,397.4921382870358
Gastos P&D depois,894.4271909999159
Gastos P&D depois,353.5533905932738
Gastos P&D depois,316.22776601683796
Gastos P&D depois,154.91933384829667
Gastos P&D depois,0.0
Gastos P&D depois,200.0
Gastos P&D depois,0.0
Gastos P&D depois,353.5533905932738
Gastos P&D depois,346.41016151377545
Gastos P&D depois,273.8612787525831
Gastos P&D depois,1000.0
Gastos P&D depois,2144.7610589527217
Gastos P&D depois,100.0
Gastos P&D depois,403.732584763727
Gastos P&D depois,707.1067811865476
Gastos P&D depois,387.2983346207417
Gastos P&D depois,1004.987562112089
Gastos P&D depois,244.94897427831782
